2021-05-26 11:55:48,500 | training.training | INFO | Preparing training ...
2021-05-26 11:55:48,501 | tensorflow | WARNING | From C:\Users\leomo\anaconda3\envs\voz\lib\site-packages\keras\backend\tensorflow_backend.py:147: The name tf.get_default_graph is deprecated. Please use tf.compat.v1.get_default_graph instead.

2021-05-26 11:55:48,523 | tensorflow | WARNING | From C:\Users\leomo\anaconda3\envs\voz\lib\site-packages\keras\backend\tensorflow_backend.py:508: The name tf.placeholder is deprecated. Please use tf.compat.v1.placeholder instead.

2021-05-26 11:55:48,575 | tensorflow | WARNING | From C:\Users\leomo\anaconda3\envs\voz\lib\site-packages\keras\backend\tensorflow_backend.py:3814: The name tf.random_normal is deprecated. Please use tf.random.normal instead.

2021-05-26 11:55:48,579 | tensorflow | WARNING | From C:\Users\leomo\anaconda3\envs\voz\lib\site-packages\keras\backend\tensorflow_backend.py:3837: The name tf.random_uniform is deprecated. Please use tf.random.uniform instead.

2021-05-26 11:55:49,683 | training.trainingdata | INFO | Validating training data ...
2021-05-26 11:55:49,700 | __main__ | ERROR | Expecting ',' delimiter: line 1 column 13 (char 12)
2021-05-26 11:55:49,701 | __main__ | INFO | Training canceled
2021-05-26 12:00:49,858 | training.training | INFO | Preparing training ...
2021-05-26 12:00:49,859 | tensorflow | WARNING | From C:\Users\leomo\anaconda3\envs\voz\lib\site-packages\keras\backend\tensorflow_backend.py:147: The name tf.get_default_graph is deprecated. Please use tf.compat.v1.get_default_graph instead.

2021-05-26 12:00:49,880 | tensorflow | WARNING | From C:\Users\leomo\anaconda3\envs\voz\lib\site-packages\keras\backend\tensorflow_backend.py:508: The name tf.placeholder is deprecated. Please use tf.compat.v1.placeholder instead.

2021-05-26 12:00:49,933 | tensorflow | WARNING | From C:\Users\leomo\anaconda3\envs\voz\lib\site-packages\keras\backend\tensorflow_backend.py:3814: The name tf.random_normal is deprecated. Please use tf.random.normal instead.

2021-05-26 12:00:49,937 | tensorflow | WARNING | From C:\Users\leomo\anaconda3\envs\voz\lib\site-packages\keras\backend\tensorflow_backend.py:3837: The name tf.random_uniform is deprecated. Please use tf.random.uniform instead.

2021-05-26 12:00:51,026 | training.trainingdata | INFO | Validating training data ...
2021-05-26 12:00:51,063 | __main__ | ERROR | The path "speech-to-text/examples/english.json" to the alphabet does not exist
2021-05-26 12:00:51,064 | __main__ | INFO | Training canceled
2021-05-26 12:01:33,836 | training.training | INFO | Preparing training ...
2021-05-26 12:01:33,837 | tensorflow | WARNING | From C:\Users\leomo\anaconda3\envs\voz\lib\site-packages\keras\backend\tensorflow_backend.py:147: The name tf.get_default_graph is deprecated. Please use tf.compat.v1.get_default_graph instead.

2021-05-26 12:01:33,858 | tensorflow | WARNING | From C:\Users\leomo\anaconda3\envs\voz\lib\site-packages\keras\backend\tensorflow_backend.py:508: The name tf.placeholder is deprecated. Please use tf.compat.v1.placeholder instead.

2021-05-26 12:01:33,909 | tensorflow | WARNING | From C:\Users\leomo\anaconda3\envs\voz\lib\site-packages\keras\backend\tensorflow_backend.py:3814: The name tf.random_normal is deprecated. Please use tf.random.normal instead.

2021-05-26 12:01:33,913 | tensorflow | WARNING | From C:\Users\leomo\anaconda3\envs\voz\lib\site-packages\keras\backend\tensorflow_backend.py:3837: The name tf.random_uniform is deprecated. Please use tf.random.uniform instead.

2021-05-26 12:01:34,969 | training.trainingdata | INFO | Validating training data ...
2021-05-26 12:01:34,994 | training.trainingdata | INFO | Validating training data ...
2021-05-26 12:01:34,995 | training.trainingdata | INFO | Items to validate: 11109
2021-05-26 12:01:34,995 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0002.wav" does not exist
2021-05-26 12:01:34,995 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0005.wav" does not exist
2021-05-26 12:01:34,995 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0006.wav" does not exist
2021-05-26 12:01:34,996 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0025.wav" does not exist
2021-05-26 12:01:34,996 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0026.wav" does not exist
2021-05-26 12:01:34,996 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0033.wav" does not exist
2021-05-26 12:01:34,997 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0040.wav" does not exist
2021-05-26 12:01:34,997 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0042.wav" does not exist
2021-05-26 12:01:34,997 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0047.wav" does not exist
2021-05-26 12:01:34,997 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0048.wav" does not exist
2021-05-26 12:01:34,998 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0051.wav" does not exist
2021-05-26 12:01:34,998 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0071.wav" does not exist
2021-05-26 12:01:34,999 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0126.wav" does not exist
2021-05-26 12:01:34,999 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0127.wav" does not exist
2021-05-26 12:01:34,999 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0128.wav" does not exist
2021-05-26 12:01:34,999 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0129.wav" does not exist
2021-05-26 12:01:35,000 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0139.wav" does not exist
2021-05-26 12:01:35,000 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0145.wav" does not exist
2021-05-26 12:01:35,000 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0153.wav" does not exist
2021-05-26 12:01:35,000 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0154.wav" does not exist
2021-05-26 12:01:35,001 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0157.wav" does not exist
2021-05-26 12:01:35,001 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0161.wav" does not exist
2021-05-26 12:01:35,001 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0166.wav" does not exist
2021-05-26 12:01:35,002 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0193.wav" does not exist
2021-05-26 12:01:35,002 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0199.wav" does not exist
2021-05-26 12:01:35,002 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0204.wav" does not exist
2021-05-26 12:01:35,003 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0209.wav" does not exist
2021-05-26 12:01:35,003 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0224.wav" does not exist
2021-05-26 12:01:35,003 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0225.wav" does not exist
2021-05-26 12:01:35,003 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0232.wav" does not exist
2021-05-26 12:01:35,004 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0347.wav" does not exist
2021-05-26 12:01:35,004 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0348.wav" does not exist
2021-05-26 12:01:35,005 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0366.wav" does not exist
2021-05-26 12:01:35,005 | training.trainingdata | WARNING | The path to the training data "19demarzo/19demarzo_0369.wav" does not exist
